上海交通大学120周年校庆喜饼选择蛋奶，木瓜，芒果三种口味有什么寓意吗？,求类似糕点链接！
如何评价上海交通大学光彪楼拉闸事件校方的处理？,先占坑 利益相关：跟光彪楼那个师傅打过交道 ———————————————————————————— 首先，我并不清楚所谓收钱之类的事情，但是也听说过有关的传言。那个辫子老头的确为人凶悍，素质不高，总是骂骂咧咧，对于一些多功能厅的器材的使用也是有所阻挠，总是不肯很爽快的为学生提供方便，所以对他的印象很不好。 看这么多人说收钱收物的事情，看起来也不像是谣言，那对于这个辫子老头，只有呵呵。  开始被司令那篇发文刷屏，后来被删除，总觉得是学校有关部门怕影响不好，封锁了消息。之前在学校里发生的一些稍显负面的事情也是这样，开始的一些传播消息的文章后来也被删除。也是天朝特色，封锁消息和维稳。 之后，学校联合有关学生组织的负责人开了一个会，大概交流了一下情况，作出了对辫子老头的所谓“处分”停职和退钱，然后学生们一片叫好。 再之后，就变成了“批评教育”。 我不知道前面的学校作出的处分是不是只是为了平息学生的怒火，之后又悄悄修改。发生了这样的事， 我不得不怀疑学校究竟有没有想认真的处理这件事，还是依然抱着睁一只眼闭一只眼的态度 。 关于辫子老头，学生们积怨已久，最终以乐联这次活动为导火索爆发了。难道学校之前对他的行为就完全不知道么？为什么这种人还可以骑在学生头上继续作威作福？  但是，这毕竟是个案，有些工作人员素质不高品行差是他们的问题，更多的工作人员像宿舍阿姨，包括菁菁堂的陈经理和李师傅，负责清扫卫生的阿姨都是尽职尽责，对学生也不错。 于是，我们的问题应该是： 怎么样才能不让这些鸡屎坏了我们这缸酱    那当然需要建立起有关的机制，碰到这种问题怎么办，去哪里投诉，由谁负责管理，针对具体的行为应该怎么处罚？我觉得这些都需要明文规定，真正建立起制度来保障学生的权益。 但是看学校现在的态度，又撤销了对辫子老头的处罚，总感觉任重道远。  对了，顺带吐槽一句。学校的教务处也是被骂了很久了。之前有看到开成绩单的学长吐槽学校开成绩单太贵，一份好几十。然后又看到了“不加钱只能第二天拿成绩单，加钱就能现场拿的”的别人的经历。  你们他妈的是为了学生服务的还是为了钱服务的？？！！   当然这些事得学校真正意识到重要性，然后有所行动才能得到解决。我们不能因为所谓舆论的力量干掉了一个“辫子老头”就满足了，我们要做的是，把所有“辫子老头”都揪出来，让“辫子老头”彻底消失。 我爱SJTU，所以我希望她更好。 以上
北交所 跟上交所，深交所有什么不同?,       在交易制度方面，北交所有三种交易方式，不设涨幅限制。北交所在交易方式上有了大幅创新，可采用协议方式、做市方式、竞价方式三种交易方式。而上交所、深交所目前主要采用的是竞价交易方式，同事辅以协议大宗交易和盘后定价大宗交易方式。其次，北交所股票还可以更换交易方式，系统同时为采用协议交易方式的企业提供集合竞价转让安排。
北京交通大学经管院or上海大学经济学院哪个好？,显然北交的会好一点，但是你要去上海发展的话，上海大学也不差的。
爱上交大女生是一种什么样的体验？,就像我爱的人在广州，而交大却再也没有人能走进心里。爱上交大的女生，就像在这里遇见了在广州的她。
上交软件研究生和华为offer选哪一个？,读书考证趁年轻，越年轻成本越小。 除非自认不是那块料，要和那种生活决裂。 工作可能钱多些，但如果以后还要回头读学位，就该后悔负担重了。
上海交大的学生如何看待西安交通大学这一学校？,校歌里唱到，“宇土芒芒，山高水长”。 交通大学立校百二十年，立校之本一直就是实业救国，实业兴邦。唐文治校长曾言，“欲成学问，当为第一等学问；欲成事业，当为第一等事业；欲成人才，当为第一等人才。而欲成第一等学问、事业、人才，必先砥砺第一等品行。”西交上交，也都是在沿着这样的路线在前进着。学科设置不同，互有所长吧。传统工科，电类机类动力类，西安交大为国家的工业界，能源动力，机械制造输送了大量的技术骨干。新兴工科，生物医学，经济金融商界，上海交大的校友也是获誉满满。这其中的差别其实很难去比较。硬要去说的话，除了地域的差异，无非就是我们这个时代对于不同专业的评价发生了改变。新中国成立的时候，对于建立全套的工业体系的迫切需求，传统工科得到了国家的重点支持，军工航天机械电力，这些行业在那个时代享受的是国家最优渥的待遇，当然吸引了最优秀的人才。但是这种需求是在变化的，现如今机械行业和电力行业的收入待遇就是比不过金融商业互联网啊，市场决定了这样的现状，影响了人才的走向，自然也就给具有不同所长的学校带来了不同的影响。进来传闻某领导对于高校和科研的认识与之前有着巨大的不同，要改变之前若干年唯论文唯数据是瞻的评价方法，转而重拾八十年代强调工科和注重实业的红专并进的路线，引导高等人才从非实体经济回流实体经济。目前这几年，各个高校为什么都在举步踌躇地观望，因为大家都处在黎明前的黑暗中，真正的变革近在眼前却还没拉开幕布。所以你看，在我们的国家，很多事情你得先把到国家的脉搏才能运筹帷幄，更何况我们的高校哪个不是国家的高校。 对于西安交大来说，专业设置老化的问题一直存在，而且也不能说学校就真的故步自封到井底之蛙的地步。西安交大的计算机、自动控制这些当时的新兴学科的设置在全国来说并不算晚，而且一度也算得上国家一流。学校从八十年代中叶开始历任高层的危机感也一直都有。只是很多时候很多事情是不等人的，近三十年，我们国家的变化太快了，没有壮士断腕的决心，很容易就被淘汰了。今天看来，很多决策者在当时的决策也不一定是最优的，走了很多弯路，错路，比如和陕西省关系的处理等等，从而导致了不同的后果罢了。其实承认自己十几年来的落寞是事实，并没有什么可酸的地方。从学校的层面，有差距就是有差距。但是这么长历史的一座学校，光校史沿革历任领导那一栏就有四十余位，十几年的落后也不过就是一两代人，把准历史的潮流，发挥自己的优势，追上去就是了。但是关键在于我们是否还有信心在我们专长的领域培养的是一等的人才？从事的是最前沿的研究？什么时候交通大学丧失了在自己的专长专业上为国家培养一等人才的传统和决心，丧失了作为国家一流高校的定位与自信，那才是灭亡之日。又如何能对得起这百年之中为了这所学校而努力过的那些前辈？ 鄙人在西交求学第八年，从来都觉得应该把上交友校作为学习的榜样和追赶的目标。落后了想招去追赶就是了嘛。没得黑，也没得撕。话说回来，我们偌大的一个国家，顶尖的高校本来就应该是一群而不是一个。大家相互尊重，各有所长，在自己的领域为国家培养人才，为学子带来新知，岂不善哉！ ================================================= 西交学生贸然回答，望轻拍。
如何评价上海交通大学 付世晓？,曾经上过他的课，影响最深就是刚开课的时候，他说：所谓硕士，在英文里是master，就是大师的意思，虽然很难，但我希望能真正教出几个大师。在座的各位扪心自问一下，有多少是真正想做master的。  他喜欢在课堂上互动，压迫式的那种，边讲课边在教室里踱步，提出问题的时候踱到哪儿就点坐那附近的同学回答问题。整堂课下来，大家都有点战战兢兢，因为必须得时时刻刻紧跟课堂，不能开小差不能瞌睡，而且还得脑袋高速运转，不断的思考问题。私底下，大家都说这老师风格太恐怖，没选课的同学也是各种庆幸自己不用忍受折磨。  然后一个学期下来，真的可以从他的课上学到东西。其实他的课堂内容说不难也不难，是从本科最基础的东西开始讲起，就是要我们把各个公式从概念假定开始详详细细的推算一遍，最后再引申到他研究的前沿领域。我想他给大家传达的意思就是，前沿的东西无非就是在基础上稍微做些推进而已，虽然推进很难，但是没有牢固的基础就不可能有发现推进的可能性。  说起这点，我还是非常感谢他的，也是他用这样的方式逼迫大家去思考问题。  至于其他的，我也不太清楚，但作为一个授课老师，我认为他特别值得人尊敬。
热能与动力工程考研上交浙大中科大哪个好？,上交动力工程好，浙大热能好。
怎样找到上海交通大学的工科男票，当然会异地啦~？, 很好奇为什么会有这种问题   交大男生多好撩。。。好撩到爆。。   给我一个女微信号，三天还你十个死心塌地喜欢你的男生（只要长得别太。。。）   没别的意思，一般女生拿出一般男生十分之一的主动就能男票遍天下，主动就行，基本不需要啥套路，我就特别好奇怎么会有想找男朋友找不到的女生（长的别太。。。） 
复旦上交的跨校情侣是一种怎样的体验？,就算有大多也耗死在五角场去闵大荒的地铁上了吧…
上交所期权是欧式的？,欧式。目前在做模拟交易。股票和ETF都有。股票选择标准是 上证50指数样本股，且为融资融券标的，上市时间超过6个月，最近6个月日均流通市值不低于500亿元，日均成交金额不低于3亿元，日均波动率不超过基准指数的3倍，日均持股账户数不低于1万户。ETF选择标准是成立时间不少于6个月，且为融资融券标的，日均市值不低于100亿元，日均成交额不低于3亿元，日均持有账户数不低于1万户。 能符合这标准的大致有哪些你可以感受下~  至于目前挂牌的，可以在上交所网站上查到的。 客户准入资格是在券商处的账户内资产有50万以上，且有6个月以上的融资融券或者股指期货交易经验，然后再参加3个月模拟交易。
