暨南大学保研率为什么那么低?, 因为暨南大学不是教育部直属的985高校。 
新闻与传播学方面，上海大学与暨南大学相比哪个好些?,有点意思的比较，但很明显暨大好过上大。 学科实力上，这两所学校都属于新闻传播学比较牛逼的211高校，又都具有博士点，暨大专业并列第8，上大专业并列第10，所以实力差距不大，暨大稍胜一筹。 地理位置上，都在一线城市，广州报业比上海发达，而暨大和南方报业是挂钩的，就业前景十分光明。上大影院的特色似乎更偏向广电、电影艺术那一块，但上海地区电视电影行业比较发达，所以就业也不错。可是上海还有复旦、上交、华东师大这几所比较牛逼的985镇压，上大区位优势没有暨大在广州那么如鱼得水，因此还是暨大更胜一筹。 最后看下学校的综合情况，2016年以前，暨大排名50+，上大70+，说明整体来说暨大含金量更高。但然并卵，重点还是看你，想要在什么地方生活工作，两所学校都值得去读。 如果是高考的话，上线难度暨大大一些，但差距不大。考研的话，上大更难，因为专业少，推免生特别多，暨大虽然也很难，但是统招名额相对多一点，专业也分得比较细。所以暨大性价比更高。  ╮(╯▽╰)╭不过呢，年轻人，还是随性点好，中国的高校，说真的，如果不是清北复交，其他差距真心不大。
考研，暨南大学的企管和华南理工的企管，选哪个好些？,华工企管全国前十，暨大明显不如。
18暨南大学人力资源研究生，求推荐复习资料？, 那是同专业的啊！复习起来会比较轻松啊！我是在研途宝上买的资料，你要的话我可以把链接发给你　 
我本科被中山大学光华口腔医学和暨南大学经济学院金融学录取，请问我应该如何选择适合自己的专业？,这是两条完全不同的人生道路。但从学科实力来说，暨大金融在全国排不上前列，本科或硕士毕业找个柜员就不错了。光华口腔的专业水平在全国可以排前三，硕士或博士毕业后，可以成为专业人士，可以找不错的三家医院。去好的民营口腔医院收入也不错，总之，就是学了一门在全世界任何地方都收入不错的手艺。
工作5年，脱产去暨南大学读自考本科会计专业，同时考注会，有什么指点的吗？,暨南大学自考有 全日制   也就是脱产学习、业余制和网络制三种，全日制的话是周一到周五上课，跟统招生一样，学习氛围会比较好一点，由暨南大学的专业老师授课，这样对自己会有所帮助，学起来也轻松一些。 大牛学历教育，让学习无处不在。
暨南大学宿舍环境怎么样？,珠海广州各两年，四人间单独卫浴，热水充足，上床下桌落地窗（如果你玻璃擦干净一点哈哈哈），空调阳台一应俱全，校本部还不断网！150一年的校园网速度比现在1590一年的渣网快无数，当年在宿舍电饭煲电磁炉烤箱我们都有买，没跳闸过，每栋楼楼有微波炉可供使用，以前大学时期没觉得宿舍有多好，今天男票妹妹去了深大住了最渣的三人宿舍，我才体会到暨大的良心！
读文科经济类专业是985＋211的华南理工大学还是211的暨南大学？,先选学校，再选专业，推荐华工。
北方人考广东的暨南大学经管类，将来回北京就业怎么样？, 暨南大学在全国的专业实力还是很好的， 知名度也是有， 但是说真的。 如果你以后还是要在北京地区发展， 还是建议你报考对外经贸大学， 暨大读完书， 你的资源全在那边， 回北京要相当于从头发展。 可以慎重考虑下 
南京人，马上去广州暨南大学上本科，请问需要迁户口到学校吗？其利弊分别是什么?_? ?,我也是江苏的，暨大毕业1年多，因为打算广州发展，当时是选择迁往学校，目前看来有这么几个点： 1、基本福利，比如社保无影响； 2、转过来，办港澳通行证更方便； 3、我原先是农村户口，名下算是有土地份额，转来后，重新分配土地我已经被村委排除在外，分红全部取消，损失也算比较大。 目前就遇到这些问题，日常生活不受影响。
在暨南大学就读是怎样一番体验？,已更新视频。  据说啊，小明和小华、小丽、小军、小王五个人是好朋友，他们相约报考同一所大学。九月开学了，小明去了济南大学，小华小丽小军小王去了暨南大学。而小华在深圳、小丽在珠海、小军在本部、小王要去瘦狗岭了。五个校区，不断分校区，也意味着同在一所学校，很有可能恋着恋着就异地了。不过珠区与本部有直通车，学生卡打折后40块。华文和本部有免费校车。嗯，四个校区都去过，对马上投入使用的番禺新校区没有好感。暨珠是小清新风，深旅文艺风，本部广场舞风，华文是异域风。  如果要报考暨大，一定要注意自己的专业校区分配安排。  我两年珠海两年本部。  母校给我最大的感触就是南方校园亦或者暨大特有的自由感，以及学校相对较好的服务意识。  从一年多前教学楼玻璃窗被风刮走到近年每年学生跳楼，学校都是第一时间出官方通知，客观阐述事情经过，不刻意掩盖真相。尤其是当年教学楼玻璃窗事件对于窗户挂掉的物理学等多方面解释，还是很客观公正的，也点出了窗户年久失修等问题，不逃脱责任。  上党课不见浮夸“学习”“吹嘘”，老师都是结合历史、当下将一些实际性问题。例如历史上文人气节等。讲座过程中，也可见讲师对我党的“正常”评价。因而不觉党课党政风浓厚。（我的）思修马哲毛概老师更是各个人格鲜明有趣。不读PPT，不讲浮夸话。算是比较难得的了。  服务意识我体会最深的是图书馆。以前不了解图书馆工作人员的辛苦，以为他们只是简单机械地收拾整理书，每周还要闭馆，一定很闲。后来去年暨南大学网络电视台做图书馆的专题，我去采访，才跟着图书馆文献部老师了解了图书馆相关工作。小到每天整理书架，倒书架，统计一本书的借阅率，复习周为大家增设桌椅，离座便签条，每月定期十多次去广州购书中心采集新书等等。不仅仅是体力活更有很多专业上的活。 复习周的图书馆《明湖纪事》     宿管阿姨大多负责友善。去年夏天阳台外绿树长得太高，枝桠又深进我们这层阳台，导致有些宿舍蚊虫特别多。阿姨一间间敲门询问宿舍是否蚊虫多，然后带着修理工过来修建树枝。  学生代表大会通过的提案，学校尽可能满足。当年珠区晚上11点半断网，后经过提案反应，改到凌晨1点断网。学生提案多次要求安装空调，后学校通过，但要求每人每年宿舍费多交1000元，后学生再次表示不满，改成多交300元，1K元后退还学生。  其他，中国大陆唯一一所不军训的高校。2011年开始设有新生训练营，老师会教同学如何恋爱。  住宿条件还不错，至少不控制宿舍用电，可自行配置电饭锅、电磁炉、热水壶等电器。独立卫生间。基本每个宿舍都自行合伙购入了洗衣机。生活上不用觉得太寒酸。尤其本部地处天河，离石牌东的太古汇、体育西路的体育中心、广州购书中心、天河城、正佳广场等最多公交地铁2-3站。  本部饭堂南苑自选美食值得推荐，二楼鲜榨果汁值得推荐，百分百原汁原味。暨南大学网络电视台专题片 暨大饭堂 微专题片《明湖纪事》第一期   。  本部和瘦狗岭校区老外比较多，印度人的体味总是奇特的，他们一年四季都爱穿拖鞋，灰黑的脚丫，感觉脏兮兮的。他们常常坐在周转楼下的沙发上听歌，或者赤脚打羽毛球。  本部京东快递自营点的负责人是个特别爱笑亲切的小伙，我现在还想再见到他对我笑，不用我说话他就自己拿出我的快递给我签名。  本部明湖商场爱养猫，以前走丢过两只黄猫，现在又养了一只白色的小猫。爱猫的同学可以经常去看它。  明湖二楼的理发店，去过两次就发誓再也不要去了。  偶尔你可以在大明湖畔遇到皇阿玛张铁林。他开讲座喜欢说点明星八卦，但也只是评价下还珠里除了周杰外的其他孩子。  据说现在礼堂的每周电影院办得很受欢迎，半价，3D，新片。啧啧，母校就是那个你一走就装备升级的地方。  站在珠区图书馆顶楼天台看夏天夜晚的星空会很美，白天站在日月湖边看着阳光下波光粼粼的湖水以及湖里的白鸭子，感觉快要醉了。  暨大牛人很多，并且他们有的不仅仅是学霸，玩得也特别棒。这是让人嫉妒的。  暨大中文系本科生，很尴尬。  没有在本科期间在校园里恋爱，是种遗憾。没有吃遍石牌东是种遗憾！  最后请原谅我因为刚刚毕业，所以只顾着怀念母校的温柔与善良了。
