北京理工大学的电子信息专业和北京交通大学相比哪个更好？, 泻药，虽人在北理，但毕竟不是学电子信息的，不方便做任何比较与评价。 
我的重庆师范大学的学生，想报考北京理工大学工业设计研究生专业希望大吗？,希望在于自己，考上北理工业设计研究生的什么学校的都有，别的不说，北理对本科没偏见这点我可以保证。 下面是自己写的一些关于北理工业设计考研的经验，未经同意请勿转载 --------------------------------------------------------------------------------------------------------------------------------------- 1理论复习（跨考尤其注意）：  1  月——  3  月 ，认识考题和题型，向已经考研的学长学姐询问关于设计考研的情况，了解的越多越好，这是考研准备的最初始阶段，这个阶段的时间需要的比较短，但十分重要，可以在任何时间多了解关于你要考研的院校的信息。同时注意收集其它设计院校工业设计往年的考题，如清华大学、湖南大学、江南大学、同济大学、武汉理工大学等院校的工业设计研究生入学考试的考题。主要关注这些院校的考题，综合对比不同的考试模式，再分析自己的实际情况，看看自己是否一定要考北理工。另外，将收集来的题目记下来，方便以后带着这些问题去看书 。   3  月——  6  月 ，理论基础拓展阶段：应该拓宽自己对工业设计知识的认识，这个阶段可以粗略的对书籍进行阅读，阅读时加以理解，不用死记硬背。  关于工业理论的基础书籍，有以下推荐：  《工业设计概论》许喜华，《工业设计概论》程能林。两本可以选一本看，如果两本都能找到的话，最好都看看。  《工业设计史》何人可或《世界现代设计史》王受之，选一本或者两本都看，注意总结。何人可版适合考试，王受之版适合扩充知识，建议都看，然后作综合理解。  《工业设计方法学》简召全，冯明主编。关于设计的程序和方法，以及功能论设计思想、人性化设计、绿色设计等设计概念，必须要看的。  《材料成型及加工工艺》江湘云  《人机工程学》孙远波。连续多年的题目都在其中有所体现，一定要看。  《情感化设计》，《设计心理学》，《未来产品的设计》唐纳德.诺曼，很好的书，虽然是国外学者的书，但通俗易懂，理解着看。  另外如《产品设计语义学》，《工业设计思潮》等书也可以看看，作为知识的补充。  6月——9月，知识梳理和总结阶段。将之前所看的工业设计的书籍和掌握的知识进行梳理和总结，以下书目需要认真阅读并进行总结和记笔记：  《工业设计史》、《世界现代设计史》，两者结合起来看，并对其进行总结。  《工业设计概论》，此书中很多是以专题的形式进行书写的，需要对其进行总结并加深记忆。  论文积累和总结：阅读一些设计类的杂志或论文集，其中的论文书写方式和角度很多和考试时的论述题类型类似，可以看的杂志有：《艺术与设计》、《装饰》、《现代装饰》等，里面有很多关于工业设计的文章，可以看一些。也可以在中国知网、万方等数据库中下载关于工业设计的文章进行阅读，看一下以往的学者对于一个问题是如何进行分析和总结的。  看书或论文的过程中，注意养成总结和摘抄记录的习惯，主要注意以下知识点的摘抄：  比较具有代表性的观点和言论、比较典型的案例、图表、公式、比较具有总结性的言辞、比较新的设计概念、设计知识等。   10  月——  12  月 ，再次对北理曾考过的题目进行分析，对每道题目进行练习，按照考试的要求对题目进行回答。增强自己对知识的运用和论文的写作能力，同时查漏补缺，检查自己知识的掌握情况，对已经掌握的内容进行巩固。对其它院校的历年考题进行总结，注意罗列并总结工业设计中功能、形式、市场、技术、情感、文化等各个因素的相互关系，相互的影响和制约及其对设计的影响。对简答和论述进行模拟训练。对之前总结过的知识强化记忆。   12  月  ——  1  月份 ，全真模拟  以上一些内容是我们理论的复习中需要准备的，但不局限于以上内容，北理的工业设计考察的比较开放和全面，因此，也是对考生综合素质的考察，我们需要尽力地拓宽自己的知识面。所以很多关于工业设计的书籍，在我们精力允许的情况，应该尽量多的涉猎。在时间的安排上，也不必拘泥于以上时间的安排，有很多的工作需要我们在考研的全过程中去做，因此，我们只需要在大的时间规划上遵循，在具体的实施过程中，应该按照自己的节奏和进度进行。 2手绘创作复习  1  月——5  月 ，手绘基础练习（跨专业或者手绘基础差的同学尤其要重视）。  简单的素描练习，主要目的是为了了解通过不同灰度来体现形体的方法，理解形体的光影分布情况。  系统的学习一下透视与阴影的教材，掌握透视的分析方法，并掌握简易的透视方法。  进行线条和形体的练习，掌握工业设计手绘的线条绘制方法。  进行结构形体的练习：基本形体练习、基本形体组合训练、实现从基本形体到自由形体的塑造。  形体写生练习，并能够默写或创造一些形体。   6  月——7  月 ，马克笔上色练习。  光影分布分析。  常见形体的光影分析。  灰色马克笔表现形体。  彩色马克笔的练习。  材质表现练习。  组合练习。   7  月——9  月， 针对考试进行提升训练。  版式和构图训练。  形态和功能的结合练习。  具有完整幅面的绘画练习。  常见产品的细节和结构收集和练习。  人机分析、爆炸图、使用场景、三视图等练习。  了解考试对于设计能力的需求，分析设计能力表达的方式，并进行相应的训练。   9  月——11  月， 了解考试并以考场方式练习。  历年真题优秀试卷分析  以考试为最终目的，在考试用的纸上进行练习。对考题进行分析，了解考题的需求及评分要点，提前适应考试纸张和绘画的要求。  全面、透彻地认识考试，了解试卷的要求和评分的标准，了解北理老师的改卷偏好，针对导师的需求进行对策性地练习。  按照考试的要求进行查漏补缺，集中攻克自己薄弱的环节。   12  月——1  月， 全真模拟训练。 
如何看待同济大学电车队和北京理工大学FSAE组建混合动力联合车队?, 钩直饵咸 
如何看待教育部为见义勇为少年提供单独高考，以及南昌大学、北京理工大学、清华大学等意欲“按规定”招录？,有为招生宣传的成分，但是我觉得功利之外也有公共社会认知，说成双赢更好吧！
如何看待北京理工大学珠海学院？,名气上在广东挺知名，其他地方不知，但是在我在的江苏，去之前没听说过。师资上有些老教授特别好，有些年轻的还够用，但是北理的学生还远不到被师资限制的地步。当然这些都不是重点..生源，北理的学生相对的挺物质，无聊的虚荣，其他不多讲。没什么上进心，看得少，三观有点偏激。思想层次low。当然这些都不是指所有人，英才大有人在
北京理工大学爆炸科学与技术国家重点实验室的日常研究、学习和工作内容是怎样的？,同学里有为了去美国更顺利，选择了michigan州某大学的爆炸专业，竞争少，拿奖走人。可惜现在10多年过去了，博士刚毕业，找工作中。
北京理工大学3+1+1项目靠谱吗？,抱歉，我不了解。 你可以找参加过该项目的学长了解，去校内论坛上发帖询问，或者找项目相关老师咨询。 个人觉得最真实的答案应该是找到参加过项目或正在参加项目的学长进行了解，请吃顿便饭好好坐下来聊一聊，把自己的情况和想法跟学长谈一谈。
是去上海理工大学念食品科学的研究生还是去北京工商大学念食品科学的研究生？,我本科本专业排名比上理高一个大层次，我毅然决然的选择了上理，这边的机会很多，只要你是个有心人，机会成本收益更多吧。
2017山西考生对外经贸大学金融工程专业与北京理工大车辆工程专业选择上有何利弊？,谢邀  两个学校 一个专业财经一个理工 两个专业 一个偏理科的商科和一个工科  两个学校的牌子都很硬 进去之后大概都有机会转更优势的专业  看你自己喜欢什么了  不过 贸大的金工好像不是它的强项??? 我记得贸大的国贸金融会计法律很强，国贸尤其强    工科不是很了解
如何评价北京示范大学珠海分校和北京理工大学珠海分校就北师珠升为985而撕逼？, 有人撕逼么？撕逼的那个微信公众号被证明是北理的人在运营，除了这个好像没看到有撕逼。  再说协议也没说珠海校区为北师大的直属985校区啊 
华东理工大学和北京化工大学比哪个更好？,住宿环境一个上海第一差一个北京第一差
北京理工大学考研辅导班哪家好？, 　　辅导班在复习思路上的确能够给我们不少建议，如果你在复习的时候没有好的思路和计划，报个辅导班还是可行的，通过报辅导班来弥补自己复习的不足，可以大大提高复习效率，节省复习时间。   　　报班需要根据自己的需求来选择，一般需要需要辅导的主要是公共课和专业课。公共课大多数机构是以集训营为主，专业课主要以一对一为主费用相对较高，这个要看你的自身条件和经济基础了。如果自身基础还不错，复习时间充裕的话，就没有必要报了。当然如果时间紧任务重，辅导班还是能帮你掌握 大纲和考试重点哈。建议报考当地的辅导班，面授的最好问题。   　　关于报考北理考研辅导班，就专业课来说，目前北京比较有针对性的尚考考研还比较不错，辅导老师基本上都是上届专业课分数前三名的研究生，这里说明一下，所有的机构专业课辅导都是研究生，有经验的肯定是好一些的。公共课的话集训营的话相对实惠些，费用上大体差不多，尚考的集训营是免费提供住宿的，可以作为参考因素。 
