西安电子科技大学电院辅导员钱德年是一个怎样的人？,大家自己去导师评价网看吧，此人迫害学生，无耻混蛋，不想多说
如何看待2016年创青春大学生创业大赛中电子科技大学包揽六个金奖和实践赛冠军？,看到了这个题目，必须怒答。如我的自我介绍电子科大微电子本科在读，不匿名。 一句话。干 死 创 青 春。 一场秀而已。何必较真？ 一场领导为了政绩，学校为了面子搞的不伦不类的东西。 当然那些获奖项目确实有实力，那些创业团队确实也很努力，不敢否认。 那为什么我那么反感这个比赛？  我觉得一个创业团队好好搞技术是王道。参加这种比赛干啥.....投资人又不傻。  那些说什么主场优势的，一百多个金奖，拿六个怎么就优势了，至于那个冠军？总得给我们学校无数吃瓜学生强行的付出一个像样点的补偿吧，虽然并没什么卵用（笑）。我不信拿了金奖，拿了冠军的这些创业团队就真变成下一个Facebook了。  自从党中央高举什么万众创业大众创业的旗帜，我们学校就高潮迭起，去年搞了创新创业学院，今年搞了一个众创空间，创新创业似乎变成我电能拿出来显摆"一流学校"优越的地方了。  创青春期间，一整栋教学楼被占了不知道干嘛（要知道我电新校区就两栋教学楼）虽然一栋硕大的面子工程项目教学楼已经可以塞下全校学生，但是严重影响了我们的正常上课。凭什么我们普通学生要强行自愿让出教室，让一些同学在没有收到提前通知的情况下不明不白找不到上课地点？  上面说到的众创空间，在创青春期间强行落成了。校领导带着一帮记者来拍拍拍。 没错我们被叫去装作创新创业活动如火如荼展开的样子，还被拍了下来。    长这样。侵也不删，因为我在里面。  我们翘了两天课在这个充满新家甲醛清香的鬼地方自习写作业谈笑风生，有领导来了就装装逼，创新创业起来，早上八点把仪器设备搬来，插线布置，下午四点把东西带走。  嗯，你叫我们来装逼，你说落成了，至少最基本的水要有吧。  没有水就没有生命，没有水就不能上厕所。   上厕所的漫漫长征路。（话说隔壁体育场是有厕所，但是无奈学校喜欢面子工程，体育馆大的一逼又离生活区几百公里平时根本不去，厕所有但找不到。）  学校今年搞了两次大规模面子工程项目，一是校庆，至少发了饭券让食堂在某一天突然好吃起来，让我们免费饱餐一顿。  但是 但是 但是   创青春什么鬼？一场秀搞得学校都翻过来了。这里是电子科技大学，不是创新创业大学！！  幸好学校没变成电子竞技大学。  语无伦次，大家随便看看吧。
西安交通大学华中科技大学中山大学电子科技大学？,讲道理 你3700名我怀疑只能上电子科技大学吧
杭州电子科技大学能进双一流大学吗？,非985，211的想上双一流？(ಡωಡ) 
在电子科技大学读软件工程是否会被清水河的人歧视？,信软乃成电第一大院。真·羡慕。每每想起自己当初没报信软都想狠狠抽自己两嘴巴子。
电子科技大学的学生都是看待素测以及如何给别人打分的？,对不起 我匿名了 题主的素质测评如果是说的是那个奖学金评定的那个的相互打分的话 我的结论是 「瞎评的」 大二开始的奖学金测评我得了三个C 但凡我有一两个A都不会没有奖学金 但是最后的结果就是很差 实话讲不开心 自己做班委做了不少事情 得到这样的结果 我只能说大家是瞎评的
为什么西安电子科技大学近些年癌症发病率极高？,原帖，从考研开始关注西电…这智商能考上研？确定复习的不是走进科学？  题主，可长点儿心动动脑子吧。  1.不爽魏则西学长和几个去世的学长被借题发挥了。朋友，逝者已矣，咱们能不瞎扯就别瞎扯了好吧，这种无聊的问题咱们就不要生拉硬拽的强问了好吧。  2.如果非要说天线所雷达所之类的……告诉我教授们年复一年的在辐射第一线，为！什！么！没！事！请给我个合理的解释:)  3.对不起，我一开始并不打算这么凶，但越看越忍不住。没事，多看看书不好吗。多看书的思考问题的模式就不是邻居大妈闲聊八卦模式了啊。
电子科技大学有没有学生团契&教会？,哇，太好了，电子科大和成都理工的弟兄姊妹有家了~
如何看待电子科技大学再次动用行政力量，以推广学校自主研发的喜付手机app?,利益相关：喜付工作人员  自己挖的坑自己填  我们承认，产品确实有瑕疵，支持的银行卡太少，对此，银联马上接入了，这个不多提了。  关于只能用喜付的问题，其实真相是这样的，学校希望只用一个系统，这样，校方对账的工作量会小很多，于是关闭了原有的通道，这是喜付希望看到的，但是真的真的真的不是喜付主导和推动的。我们在科大走出了第一步，完成了产品的从0到1。现在在科大的科技园，我们正在从1到10的路上，作为来自科大的创业团队，作为一个有理想有责任感的公司，我们绝对不会也不屑于去做那种强行垄断的事情。  当然，产品有不足，是我们的问题，错了就是错了，我不强行洗地，不过，请相信喜付，我们一定会越做越好，我们的目标，就是让科大的同学们在校园生活当中越来越方便而不是给大家添堵。  这次的事情，请允许我说一声，对不起！！
如何对比杭州电子科技大学和成都电子科技大学？,这两个无论从实力还是分数都完全不在一个档次吧
电子科技大学的电气工程及其自动化专业怎么样？,看你啥追求。 你为了就业，肯定进国网好了。那你就去华电、东北电力大学、上海电力大学，分不高，国网还喜欢招。 你要是为了学习，那就清华、西交、华科、浙大四选一。 电气这专业要玩强电，玩弱电电路这玩意没啥意思啊。成电会把资源投给强电设备与实验么？ 题主这选择看起来就像热门大学+热门专业的简单1+1罢了，不推荐。
在冬天的西安电子科技大学丁香公寓6楼洗了一个热水澡是一个怎么样的体验？,因为楼层的关系供水确实存在问题  作为丁香13号楼的宝宝  冬天每周246下午五点半准时来热水 晚上十一点半过还有  而五一过后天气热起来后 除了周日 一周七天有六天供热水  依旧下午五点半来十一点半停(´･_･`)
电子科技大学沙河校区？,泻药，知乎处女答无私地献给窝电。 看题主的分数，今年想走沙河校区的可能性还是很大的，尽管窝电因为缩招，每年的投档线都会小小的飘高一点~~ 下面进入正题。。答主是微固学院（俗称皇家SCI，至于为什么如果题主真的来窝电的话很快就会明白）大三的学生，头两年在清水寺修行，第三年至今在沙河分寺参禅。沙河校区实际上是窝电06年之前的主校区，自从主校区迁到清水河以后，部分专业的高年级学生仍然会搬到沙河进行两到三年的学习，所以沙河校区并不只是某成教的代名词（手动斜眼）。而在高考招生目录上，电子科技大学（沙河校区）算是一个独立的招生代码。如果没猜错的话，这个招生代码下的专业应该是软件工程（XX）若干，集成电路设计与集成系统，还有高大上60000/学年的哥斯拉，，，不对，，格拉斯哥学院。 好，既然题主想知道两个校区有什么区别，那站在我的角度来回答的话，我认为沙河校区除了格拉斯哥以外的专业其实性价比都是相当高的。 先说软件工程（XX）吧，如果题主稍微对当下就业形势有所了解的话，就知道现在是宇宙机一统天下的时日。软件工程毕业的学生，如果本科四年并不是太水的话，本科毕业就找到一份相对满意工作的可能性是相当大的（当然愿意深造的话更好）。 再说集成电路设计与集成系统，这个专业是今年才从答主所在的微固学院中分出来的，题主可以自行百度一下“示范性微电子学院”。论就业它是不如宇宙机的，然而还是可以不虚一些传统行业，如果题主学高中物理的时候对电路什么的很感兴趣，是可以考虑填报的。（这里插一句，这个专业的学生本科生期间就有一次流片的机会，题主可以自行了解一下流片对于玩IC的来说意味着什么） 至于格拉斯哥嘛，，答主在这里只能说这个专业大一到大四都在清水河度过，毕业以后可以拿电子科大和格拉斯哥双学士学位，分数吗一般都不会很高，其他的并不是特别清楚。 接下来可能是题主最关心的问题了——沙河的软硬件条件。按照答主的观点，沙河的硬件条件基本可以说被清水河爆出两条街，无论从宿舍还是教学楼还是图书馆，沙河这里简直就有一种上世纪末的复古风啊。。沙河的宿舍一般分四人间和六人间（当然还有答主现在住的欣苑三人间），上床下桌或者上下铺，无独卫（部分六人间可能会有），每层楼零或一个自动洗衣机+一或两个公共澡间，每间宿舍都有空调（这个还算给力），每人一个校园网宽带接口，10元/月，网速比较快（用迅雷加会员下载时最高飙到10+10M/s）。。。。然而沙河的软件条件可以反爆清水河了，毕竟沙河校门口是成都一环路，而清水河是绕城高速，，，这种差别相信题主自己脑补就可以体会到。。。 差不多就这么些了吧
