请问怎么看待南开大学津南校区浴室的设计理念？,拐    弯    那两个喷头的位置已然告诉我们一切~~~~
南开大学 深圳研究生院？,你好 我接下里跟你说的每一句话你都可以证实 第一 南开大学深圳研究生院就是南开大学的下属事业单位 该院负责具体事务的院长是拿南开大学工资的在编人员 第二 你拿到的只有学位证 没有毕业证 是单证
如何准备校学生会面试？(我是南开大学的)?,作为南开校友，现在负责某企业招聘。  我在筛选简历时，学生干部经历是重大的减分项，特别是团系统的干部。  因为，根据小样本统计数据显示，这类应届生大多注重投机、搞关系、业务能力差。
能够上武汉大学，南开大学，中山大学，厦门大学，上海财经大学，中央财经大学，上了北京师范大学，会后悔吗？,你问这个问题就说明你已经后悔了
南开大学商学院外出面试的具体过程是啥？ 面试内容有什么？, 一般是三个老师，首先是自我介绍，老师不会打断，接下来的问题就很多样化了。南开比较看重学术，如果带论文过去的话是肯定会被问到的，专业性的问题老师也会问到，问到回答不上来为止，然后可能会问你的兴趣爱好，喜不喜欢读书啊，读什么书啊，然后突然和你的专业联系起来，问你问题。我还被问到最喜欢的音乐家是谁？最喜欢的俄罗斯电影？原因？简而言之，老师会顺着你的想法问你问题，但是一般还是会问到回答不上来为止，提前做一些充分的准备就会好很多。不会就微笑吧~~录取率还是蛮高的~~ 
想考南开大学金融学，金融工程之类的研究生好考吗？,咨询南开经济金融类考研，可以加微信cui-0122，详细专业课备考解答
武汉大学和南开大学哪个好？,毕竟国立网红大学，现在都流行网红经济，南开一比，仿佛腐草之荧光，怎及天心之皓月？
中国政法大学法硕（法学）和南开大学法学硕士如何选择？,以后想从事法律工作，毫无疑问选法大，南开这几年一直在走下坡路当然你想留天津的除外。至于你说的法学法硕的考研难度，今年法大两个学院统招名额一共38个，复试分数线350和人大并列全国第一，复旦才345，最后只有31个人进复试，不过好像还有被踢的，招不够的名额给了法学硕士调剂用，至于南开，法学硕士难度一定是低于法大法本法硕的，楼主可以根据自己的时间能力合理选择
如何看待2017南开大学晚会表演"揭露"方舟子的节目，并获得全校师生好评？,题主是方粉吧？这俩名字和表演内容没什么关系，不要断章取义，我是看了表演赛的，那一段是批判现在社会上存在的公知大V的历史虚无主义的，不好意思，方舟子先生还没有到能被一个非常红专的比赛批判的地步。关于历史虚无主义是什么，我不解释，题主自己去查，或者问一问身边的脑残果粉们，大概就会知道。奉劝某些人一句，别看到什么东西就上纲上线，喷的飞起，p本事没有，就知道喷这个喷那个。再奉劝诸位一句，没有调查，就没有发言权。不服，不辩。我话说的很清楚，各位方粉和袁粉想撕逼的请换地方，恕不奉陪，你有你说话的自由，我也有我不听你说话的自由   
目前看来，山东大学有没有超越南开大学？,与其相争终日，不如强强联合，南开大学和山东大学组成环渤海的大学巨无霸，并取双方首字为新校名“南山大学”。 南开大学更名为南山（北）大学，山东大学更名为南山（南）大学。  这样的话，山大的民谣水平就提高了不少呢。
如何看待南开大学允公集团原董事长李育麟被缉捕？,杨育麟。 答主是南开学生，听过与学校高层甚至政府高层有关系的老师说过这个案子。 杨育麟是南开的痛处，是南开甚至天津市某些人的致命之处。杨育麟与北国投，与原检察长李宝金的关系非同一般，而且在本世纪初涉案数亿元不是一般人做得到的。如果深究，允公集团案件必然掀起南开乃至天津官场的风暴，九十年代起与允公集团相关的南开高层和天津市高官必然有一批人落马。但是这个案件已经过去了十年，当事人多数已经退休，中纪委愿不愿意深究还是一回事。即使中纪委和教育部下决心揭开天津和南开的盖子，以天津官场息事宁人的一贯做法，能查到谁还是个问题。这可能就是猎狐行动的一个环节而已，但是就像北大方正一样，如果动，就是大动。
大家如何看待南开大学的？,我实在是要来自问自答一下了。 首先我是土生土长的天津人 然后我考上南开已经很不容易了，所以南开是我dream school no1. 第二我很喜欢我们院的老师，我学习确实不算好，但是我们这届，我们这个院的同学， 单说博士，去国外的有剑桥/牛津/达特茅斯/威斯康星/lehigh/GIT。其他的学校也都是我们这个领域很好很好的，不过这些都是最耳熟能详的所以我拿出来说。  所以关于我为什么问这个问题。 我十八岁的时候开始知道"西南联大"这个词，恍惚之间，竟然听了四年。“西南联大“欢迎大家自行百度。现在这个词，估计在南开的使用频率最频繁了，为什么呢（真的要逼我自黑母校吗？） 杨振宁因此，也算是可以和我们扯上关系了。 （但是我见到杨振宁是在大一他给天大的公开讲座上，这不是很粉刺么，但这是偏题的。）  然后我知道了母国光先生。 然后我知道了范曾先生。 然后我知道了叶嘉莹先生。 恍惚之间，也是四年。  不知道是幸运还是不幸运，我们大一是住在主校区的，不是迎水道校区。 但是大一迎新那个讲座还是要去迎水道校区的嘛。 那句”同学们，你们知道那个二主楼，花了咱们多少钱，有多好吗！有多少天大，别的大学的学生羡慕，想来这里自习么！“这种水平的话当着那么多大一学生的面说出来，我不知道我当时心里是什么感受啊！！ 那句”同学们，天大和世界一流大学只有一墙之隔“，我宁愿是一个大一新生的孩子说出来的啊！  可是不是啊 后来一墙之隔好基友的26楼建起来的时候，拥有二主的我们，真的不是呵呵后吗？ 二主的内部，大家也知道吧？ （而且你和隔壁比谁钱多，这如果不是单纯想锻炼自己心里素质的话，还能是因为什么原因呢我不理解啊！）   你说我自豪么，我在南开还是很自豪的。但是为什么自豪，我却一句话都说不出来。  自豪的就是总理么，西南联大么，范曾先生么，叶嘉莹先生么，经管么？数学第二化学第三么？生物风头正劲，母国光创建的信科牛掰么？哲学系历史系的地位全国举足轻重么？ 现在南开风头正劲的是商科和经管，我们下一届的学弟学妹已经不出国了，举系要去考经管法的研了。你可以说这是社会的大风气，但是我看着，就是怪怪的。  自豪的是饶校吗？龚校吗？龚校你们真的要提吗？？真的吗？？？？真的吗？？？？？ 说一说龚校从哪里来的吗？？？？ 我个人对隔壁非常的敬重，又有钱又有才，国家栋梁，科技人才辈出  但我承认，不是我所有的同学都是这样想的。   作为南开人，说隔壁比我们好，我是断然不承认哒~\(≧▽≦)/~，但你说我不把隔壁天大放在眼里，有点儿打脸了就。。。  我和我认识的同学们，自豪又自卑。对学校没有什么太大的感觉。扔在全国大学生里，也是一种“我学校没给我丢脸，我也没给我学校丢人”这种中庸的态度。  但是我们所有人多知道，南开风头正劲的日子已经去了，去了也就去了。所有的都是历史，不提也罢。  可是南开现在（至少我上学那时），并没有看到蓬勃朝气的奋起。我们能够提到的“辉煌”，永远是西南联大，周总理，周总理，西南联大。。。    我现在问以前院里的老师，我问“还好吗？？”他说，“越来越不行了。”我心刷拉就凉了。  ”我会在能力范围内尽量美化我的母校”…可是学校不是美化出来的啊。 真正的牛逼学校难道不是“千万人黑她，我自岿然不动吗”，像波士顿黑纽约中的纽约啊，像beat LA里面的LA啊（篮球白痴用错了忽略我）。  以前高中毕业学姐来给高三的我们做问卷调查，学姐去浙大了，所以有一道题是“你觉得浙江大学有可能取代清华北大变成全国第一吗”（浙大不要pia我。。这是真事儿。。） 那我当时想学姐开我心呢，南极翁哪里去啊，果断挑“不可能” 后来上了大学我觉得我就是SB啊，浙大啊。  我们南开还有可能，问卷调查，“我们离清华北大有多远”吗。 曾经的西南联大，距离现在有多远？   “我想让南开为我添光”。。。。我实在是不知道说什么。。。恩。。。您说的都对！  我说了这么多废话，想说的主要是。  在南开的时候，也许是我的错觉，那种我以为会有的精神，我没有看到。我没有，我周围的人也没有。我想让南开变好，即使我已经毕业了，我该怎么办。    （无论因为什么原因） 我们现在没有钱，我们该怎么办。  （无论因为什么原因） 我们没有以前辉煌了，我们该怎么办  。  好吧。。除了我们该怎么办。。我们该建议龚校怎么办。。？ 龚校已经很好很好了，我知道他来nk伤了一堆隔壁孩子的心。。。 ——————————————————————————————————————————— 我当然是对南开有感情的，多有感情呢。 老陶的三丁包子从一块（凑表链的）涨到一块一我也爱，还有烤鸭米线，米线一看就是劣质的我也爱。 职工食堂的红豆豆浆和1块钱手抓饼，云南米线要肥牛或者贡丸的。三食二楼的米线也好，但是麻辣烫就不好，但是麻将烧饼很好。 实习的木须肉盖浇饭 三食一楼，外面的小卖部，两块钱的德芙巧克力。里面的小卖部，又最光滑的印着”南开大学“的作业纸。 二主楼最近的复印店旁边的（疑似国营）的小卖部，三块钱的雅哈咖啡，应该已经不卖了。 还有在二主楼B自习时看到下一届课的人用白纸条占了一排座位”此处有人“ 毅然把所有纸条都撕了（没错就是我，我就是觉得你做的不对，少女我们来约站吧！） 很久很久以前西南村早晨有鸡蛋灌饼，加里脊的，还有卖皮蛋瘦肉粥的。巨难吃的煎饼果子谁买谁SB。中午的小虎麻辣烫，燃面和清真大叔的炒凉皮。每一个清真的兰州拉面馆子和烤肉都做不长= =。我们那冬暖夏凉的可以刷夜的小楼~学霸们占了一个位子就死活不走啊一学期清一次书。   ————————这些我都爱，可我又希望我不仅仅爱这些。———————————————  以上，是我提问的原因 我感谢每一个回答，我也希望能有更多的回答。 如果还喷我，爱谁谁= =。 你吃小豆的吧，我买奶油的去了= =。 
